__name__,agent_hostname,collector_id,env,instance,job,role_name,target_name,Value
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300038_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300039_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300040_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300045_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300050_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300113_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300114_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300118_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300120_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6300121_DANUXL6300DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6310044_DANUXC6310DB01,2
