id,app_id,app_full_name,metric_id,metric_name,metric_path,frequency,start_time_ms,occurences,current_value,min_value,max_value,value,sum_value,count_value,bucket_start,load_date,fetched_at,unnamed_or_timestamp
26,1AUTHB,1AUTHB_WIMAuthenticationHub,149459776,BTM|Application Summary|Component:25091|Calls per Minute,Overall Application Performance|LEW06P-PROD-1authb-utility-api|Individual Nodes|LEW06P-PROD-1authb-utility-api-5|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,37.0,37.0,76.0,54.0,1553.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
27,1AUTHB,1AUTHB_WIMAuthenticationHub,149458917,BTM|Application Summary|Component:25082|Calls per Minute,Overall Application Performance|LEW06P-PROD-1authb-client-authentication-api|Individual Nodes|LEW06P-PROD-1authb-client-authentication-api-6|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,30.0,14.0,48.0,27.0,777.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
28,1ATR,1ATR_AccountRecon,33652442,BTM|Application Summary|Component:12506|Calls per Minute,Overall Application Performance|1ATR_Pool|Individual Nodes|ARVWWSWAB303_01M_1ATR_Pool|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,12.0,12.0,12.0,348.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
29,1ATR,1ATR_AccountRecon,33652442,METRIC DATA NOT FOUND,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB301_SLS_1ATR_48577_Pool|Calls per Minute,ONE_MIN,,12,,,,,,,15,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
30,1ATR,1ATR_AccountRecon,33652442,BTM|Application Summary|Component:12506|Calls per Minute,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB301_OXM_1ATR_48577_Pool|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,12.0,12.0,12.0,348.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
31,1ATR,1ATR_AccountRecon,33652442,METRIC DATA NOT FOUND,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB303_SLS_1ATR_48577_Pool|Calls per Minute,ONE_MIN,,12,,,,,,,15,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
32,1ATR,1ATR_AccountRecon,33652442,BTM|Application Summary|Component:12506|Calls per Minute,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB303_OXM_1ATR_48577_Pool|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,0.0,0.0,0.0,0.0,0.0,15,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
33,1ATR,1ATR_AccountRecon,33652442,METRIC DATA NOT FOUND,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB302_SLS_1ATR_48577_Pool|Calls per Minute,ONE_MIN,,12,,,,,,,15,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
34,1ATR,1ATR_AccountRecon,33652442,BTM|Application Summary|Component:12506|Calls per Minute,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB302_OXM_1ATR_48577_Pool|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,11.0,13.0,12.0,348.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
35,1ATR,1ATR_AccountRecon,33652442,BTM|Application Summary|Component:12506|Calls per Minute,Overall Application Performance|1ATR_Pool|Individual Nodes|ARVWWSWAB304_01M_1ATR_Pool|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,12.0,12.0,12.0,348.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
36,1ATR,1ATR_AccountRecon,33652442,METRIC DATA NOT FOUND,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB304_SLS_1ATR_48577_Pool|Calls per Minute,ONE_MIN,,12,,,,,,,15,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
